,number_of_words,number_of_sentences,avg_word_length,POS_CC_Count,POS_)_Count,POS_POS_Count,POS_IN_Count,POS_NNP_Count,POS_$_Count,POS_MD_Count,POS_JJ_Count,POS_RP_Count,POS_CD_Count,"POS_,_Count",POS_JJS_Count,POS_VBP_Count,POS_WP$_Count,POS_VBD_Count,POS_(_Count,POS_NN_Count,POS_VBG_Count,POS_RB_Count,POS_NNS_Count,POS_:_Count,POS_SYM_Count,POS_''_Count,POS_EX_Count,POS_PRP$_Count,POS_WP_Count,POS_PDT_Count,POS_``_Count,POS_VB_Count,POS_RBS_Count,POS_WDT_Count,POS_VBZ_Count,POS_JJR_Count,POS_DT_Count,POS_._Count,POS_VBN_Count,POS_FW_Count,POS_PRP_Count,POS_WRB_Count,POS_TO_Count,POS_UH_Count,POS_NNPS_Count,POS_RBR_Count
3960,42,1,4.4523809523809526,1,4,0,7,10,0,0,4,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,0,1,0,0,0,0,0,9,0,2,9,0,0,0,0,0,0,0,0
1711,20,1,6.0,0,4,0,2,4,0,0,0,0,0,0,1,0,0,0,4,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,2,0,0,0,0,0,0
1434,35,1,4.314285714285714,0,4,0,5,4,0,0,1,0,0,0,1,2,0,0,4,7,0,0,4,0,0,0,0,1,0,0,0,0,0,0,1,0,8,5,0,0,1,0,0,0,0,0
6800,34,1,4.382352941176471,4,4,0,3,3,0,0,1,0,0,0,1,0,0,0,4,12,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,4,1,1,0,0,0,0,0,0,0
7688,87,1,4.793103448275862,0,4,0,14,8,0,2,6,0,1,0,0,5,0,0,4,14,2,1,11,0,0,0,0,0,0,0,0,4,0,0,2,0,6,7,6,0,1,1,2,0,1,0
6080,109,1,4.862385321100917,2,4,0,15,12,0,1,8,0,2,1,1,0,0,3,4,22,0,4,5,0,0,0,0,0,0,0,0,5,0,0,3,0,17,8,4,0,0,0,5,0,0,0
5885,57,1,5.087719298245614,1,4,0,8,6,0,0,11,0,1,4,0,1,0,0,4,9,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,1,10,5,2,0,0,1,0,0,0,0
6344,56,1,4.410714285714286,0,4,0,11,5,0,0,1,0,6,0,0,0,0,0,4,14,0,0,2,0,0,0,0,0,1,0,0,0,0,0,3,0,9,3,2,0,2,0,0,0,0,0
3848,53,1,5.0,1,4,0,5,1,1,1,5,0,4,0,0,1,0,0,4,12,1,1,4,0,0,0,0,0,0,0,0,6,0,0,0,0,7,5,1,0,0,0,2,0,0,0
2585,25,1,4.36,0,4,0,5,0,0,0,1,0,5,1,0,1,0,0,4,5,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,1,0,1,0
3633,33,1,4.757575757575758,0,4,0,2,3,0,0,2,0,0,0,0,0,0,1,4,13,0,0,0,0,0,0,0,0,1,0,0,2,0,0,2,0,2,1,1,0,0,0,4,0,0,0
3328,46,1,4.673913043478261,0,4,0,5,3,0,0,3,0,0,1,1,1,0,0,4,14,0,0,3,0,0,0,0,0,0,0,0,1,0,0,4,0,9,5,0,0,0,1,1,0,0,0
4245,27,1,4.185185185185185,0,4,0,2,3,0,0,0,0,0,0,0,0,0,0,4,6,0,0,2,0,0,0,0,0,1,0,0,4,0,0,1,0,4,1,0,0,0,0,4,0,0,0
1242,60,1,4.116666666666666,0,4,0,4,4,0,1,4,0,0,0,0,1,0,0,4,14,0,0,3,0,0,0,0,0,0,0,0,5,0,4,4,0,12,2,0,0,0,0,4,0,0,0
7358,27,1,3.925925925925926,1,5,0,1,4,0,0,1,0,7,1,0,0,0,0,5,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,2,0,3,2,0,0,0,0,0,0,0,0
2627,36,1,4.416666666666667,0,4,0,4,3,0,0,3,2,0,0,0,2,0,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,1,0,0,2,0,0,0,0
6450,28,1,4.892857142857143,0,4,0,2,4,0,0,4,0,0,0,0,0,0,0,4,6,1,2,0,0,0,0,0,0,0,0,0,1,0,0,3,0,5,1,0,0,0,0,0,0,0,0
7204,62,1,6.225806451612903,5,4,0,9,8,0,5,5,0,0,1,0,1,0,0,4,7,0,1,9,0,0,0,0,1,0,0,0,5,1,0,1,0,2,6,1,0,0,1,0,0,0,0
4900,29,1,4.172413793103448,0,4,0,4,3,0,1,0,0,0,0,0,1,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,6,1,0,0,0,0,0,0,0,0
3592,64,1,5.03125,1,4,2,6,6,0,2,5,0,0,3,0,2,0,0,4,12,1,3,2,0,0,0,0,1,1,0,0,5,0,0,4,2,7,6,2,0,0,0,2,0,0,1
5709,75,1,4.16,1,4,0,9,5,0,1,2,0,3,0,0,0,0,0,4,17,0,0,5,0,0,0,0,0,0,0,0,4,0,0,6,0,16,3,1,0,2,1,2,0,0,0
2887,23,1,5.521739130434782,0,4,0,3,4,0,0,1,0,0,0,0,0,0,0,4,6,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,1,0,0,0
5332,40,1,5.075,1,4,0,4,3,0,1,2,0,1,0,0,0,0,0,4,6,4,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,6,5,0,0,0,0,1,0,0,0
5143,23,1,4.652173913043479,0,4,0,2,4,0,0,1,0,0,0,0,0,0,1,4,8,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,1,0,0,0
4972,52,1,4.403846153846154,1,4,0,6,3,0,0,2,1,0,0,1,0,0,0,4,13,5,1,4,0,0,0,0,1,0,0,0,1,0,0,1,1,10,2,0,0,0,0,1,0,0,0
1905,17,1,4.352941176470588,0,4,0,2,6,0,0,0,0,0,0,0,2,0,0,4,1,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,4,2,0,0,0,0,0,0,0
2068,34,1,5.176470588235294,1,4,0,3,3,0,0,2,0,0,7,0,0,0,0,4,10,0,0,6,0,0,0,0,0,1,0,0,0,0,0,2,0,5,2,1,0,0,0,0,0,0,0
4209,62,1,4.758064516129032,0,4,0,5,4,0,2,2,1,0,0,0,0,0,4,4,17,2,0,0,0,0,0,0,0,1,0,0,3,1,2,0,0,11,3,1,0,2,2,2,0,0,0
3785,57,1,4.666666666666667,1,4,0,6,7,0,0,9,0,1,0,1,4,0,0,4,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,3,0,10,6,2,0,4,0,0,0,0,0
6149,36,1,4.722222222222222,4,4,0,6,3,0,0,1,0,0,0,0,0,0,0,4,14,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,1,0,0,0,0,0,0,0,0
2289,37,1,5.864864864864865,0,4,0,5,3,0,0,3,0,0,0,1,0,0,0,4,9,3,2,0,0,0,0,0,0,0,0,0,3,0,1,1,0,3,1,0,0,0,0,3,0,0,0
7267,43,1,5.604651162790698,0,4,0,2,3,0,0,7,0,0,0,1,0,0,0,4,11,5,0,3,0,0,0,0,0,0,0,0,0,0,0,5,0,5,2,0,0,0,1,0,0,0,0
334,44,1,3.886363636363636,1,4,0,7,6,0,0,1,0,0,0,0,0,0,0,4,8,0,0,6,0,0,0,0,0,0,0,0,2,0,0,1,0,10,4,0,0,0,0,2,0,0,0
2883,47,1,4.74468085106383,1,4,0,3,6,0,2,1,1,0,0,0,4,0,0,4,4,0,2,11,3,0,0,0,1,1,0,0,1,0,0,2,1,7,5,0,0,0,0,0,0,0,0
7568,56,1,4.392857142857143,1,4,0,8,5,0,0,1,1,0,1,0,1,0,0,4,15,1,0,4,1,0,0,0,0,0,0,0,1,0,0,5,0,11,4,0,0,1,0,1,0,0,0
126,26,1,4.230769230769231,0,4,0,1,3,0,0,3,0,0,0,0,0,0,1,4,6,2,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,5,1,1,0,0,0,1,0,0,0
5238,49,1,5.020408163265306,4,4,0,7,4,0,0,3,0,0,0,0,4,0,0,4,4,1,1,9,0,0,0,0,0,0,0,0,1,0,0,1,2,3,5,0,0,0,0,1,0,3,1
1662,28,1,4.321428571428571,2,4,1,3,3,0,0,0,0,0,0,0,3,0,0,4,8,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,1,0,0,0
6599,31,1,4.387096774193548,0,4,0,2,4,0,0,1,0,0,0,0,3,0,0,4,10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,5,0,0,0,1,1,0,0,0
4753,26,1,5.038461538461538,0,4,0,3,3,0,0,2,0,0,0,0,0,0,0,4,6,2,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,4,1,0,0,0,0,0,0,0,0
7397,51,1,4.8431372549019605,1,4,0,8,4,0,1,0,0,1,0,0,1,0,4,4,13,0,1,3,0,0,0,0,3,0,0,0,1,0,1,0,0,5,3,1,0,2,0,1,0,0,0
7154,72,1,4.277777777777778,2,4,0,9,3,0,1,1,0,7,1,0,1,0,0,4,22,3,3,2,0,0,0,0,0,0,0,0,0,0,1,4,0,12,4,0,0,0,1,0,0,0,0
766,48,1,5.75,0,4,0,3,7,0,1,3,0,0,0,0,3,0,0,4,9,1,0,9,0,0,0,0,0,0,0,0,3,0,0,2,0,4,6,0,0,0,0,3,0,0,0
259,72,1,5.013888888888889,1,4,0,10,5,0,0,7,0,0,0,0,2,0,0,4,12,1,0,11,0,0,0,1,0,0,0,0,3,0,0,3,3,8,5,0,0,1,1,2,0,0,1
952,39,1,5.923076923076923,1,4,0,3,3,0,1,5,0,1,1,0,3,0,0,4,7,1,1,4,0,0,0,0,0,0,0,0,2,0,0,0,0,3,5,0,0,3,1,0,0,0,0
3635,37,1,5.567567567567568,4,4,0,1,0,0,0,1,0,5,0,0,0,0,0,4,13,1,0,1,0,0,0,0,0,0,0,0,2,0,2,2,0,3,1,0,0,0,0,2,0,0,0
2162,17,1,5.529411764705882,0,4,0,1,3,0,0,2,0,0,0,0,0,0,0,4,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,2,1,0,0,0,0,0,0,0,0
687,38,1,4.842105263157895,5,4,0,1,4,0,1,6,0,0,0,0,1,0,0,4,10,1,0,2,0,0,0,0,1,0,0,0,2,0,0,0,0,2,2,1,0,0,0,1,0,0,0
7217,59,1,5.423728813559322,1,4,0,5,4,0,0,9,0,0,3,0,1,0,0,4,6,0,2,5,0,0,0,0,1,0,0,0,1,0,2,5,1,5,5,4,0,4,0,2,0,0,1
1739,35,1,4.171428571428572,0,4,0,3,3,0,0,2,0,0,0,0,4,0,0,4,7,0,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,7,1,0,0,4,0,0,0,0,0
6236,24,1,4.958333333333333,0,4,0,4,3,0,0,1,0,2,0,0,0,0,0,4,7,0,0,1,0,0,0,0,0,0,0,0,0,0,1,2,0,3,1,0,0,0,0,0,0,0,0
2489,40,1,4.225,0,4,1,4,9,0,0,3,0,1,0,0,1,0,0,4,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,10,4,1,0,0,1,0,0,0,0
3719,19,1,5.2105263157894735,0,4,0,2,3,0,0,2,0,0,0,0,0,0,0,4,4,0,0,3,0,0,0,0,0,1,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0
2116,71,1,4.394366197183099,1,4,0,11,5,0,2,4,0,0,0,5,7,0,1,4,3,2,0,14,0,0,0,0,0,1,0,0,1,0,0,0,0,12,6,0,0,1,0,1,0,0,0
3242,60,1,4.416666666666667,0,6,0,6,6,0,0,4,1,2,2,0,0,0,0,6,17,1,0,0,0,0,0,0,0,0,0,0,1,0,0,5,0,15,6,0,0,0,0,1,0,0,3
604,22,1,4.636363636363637,0,4,0,1,3,0,0,2,0,0,0,0,2,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,0
6793,69,1,4.579710144927536,2,4,0,9,4,0,0,4,0,0,0,1,1,0,5,4,17,0,2,2,0,0,0,1,0,0,0,0,0,0,0,3,2,13,6,2,0,0,1,0,0,0,0
7434,82,1,4.621951219512195,1,4,0,12,11,0,0,2,0,0,0,0,0,0,0,4,14,1,3,3,0,0,0,0,1,0,0,0,6,0,0,6,1,11,5,2,0,1,1,6,0,0,0
6415,48,1,4.229166666666667,0,4,0,7,3,0,1,3,0,7,1,0,1,0,0,4,5,1,2,7,0,0,0,0,0,0,0,0,2,0,0,0,1,5,1,0,0,1,1,1,0,0,0
6094,72,1,4.666666666666667,1,4,0,4,5,0,1,3,0,0,1,0,0,0,0,4,19,0,6,0,0,0,0,1,1,0,0,0,5,0,1,9,1,12,7,1,0,1,2,1,0,0,0
1274,16,1,5.75,0,4,0,1,3,0,0,1,0,0,0,0,1,0,0,4,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
7769,57,1,4.491228070175438,0,4,0,10,3,0,1,2,0,0,0,0,2,0,0,4,10,0,1,4,0,0,0,0,0,0,0,0,1,0,2,5,0,14,4,2,0,0,0,0,0,0,0
6585,66,1,4.590909090909091,0,4,0,9,3,0,2,3,0,0,1,0,2,0,0,4,17,0,2,3,0,0,0,0,0,0,0,0,2,0,2,4,1,11,2,4,0,0,1,0,0,0,0
4610,17,1,4.882352941176471,0,4,0,2,4,0,0,0,0,0,0,0,0,0,0,4,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
1518,47,1,4.361702127659575,0,4,0,5,3,0,0,4,0,0,0,0,1,0,0,4,10,6,2,1,0,0,0,0,0,0,0,0,0,0,1,0,1,11,1,1,0,0,0,1,0,0,0
4999,32,1,5.1875,0,4,0,3,4,0,0,5,0,0,0,0,0,0,0,4,8,2,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,3,2,1,0,0,0,0,0,0,0
1668,38,1,5.473684210526316,4,4,1,2,1,0,0,0,1,4,9,1,1,0,0,4,20,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0
5872,42,1,5.357142857142857,2,4,0,6,4,0,0,2,0,0,0,0,2,0,0,4,10,1,0,8,0,0,0,0,1,0,0,0,0,1,0,0,0,4,1,0,0,0,1,0,0,0,0
7511,57,1,4.807017543859649,1,4,0,9,9,0,0,1,0,0,0,0,0,0,3,4,9,1,1,5,0,0,0,1,1,0,0,0,0,0,0,4,2,8,6,0,0,0,1,1,0,0,0
1533,22,1,4.7727272727272725,1,4,0,1,3,0,0,1,0,0,0,0,0,0,0,4,7,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,2,0,0,1,1,0,0,0
546,24,1,4.625,0,4,0,1,3,0,0,2,0,0,0,0,0,0,0,4,4,0,1,3,0,0,0,0,0,0,0,0,1,0,1,4,0,3,0,0,0,0,0,1,0,0,0
5397,57,1,4.859649122807017,0,4,0,5,3,0,3,5,0,1,1,0,3,0,0,4,9,0,1,9,0,0,0,0,0,0,0,0,2,2,5,1,1,5,2,1,0,0,0,0,0,0,1
774,51,1,4.254901960784314,0,4,0,8,3,0,0,0,0,0,0,0,0,0,5,4,12,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,0,10,6,1,0,4,0,0,0,0,0
2931,29,1,4.758620689655173,0,4,0,2,3,0,0,5,0,0,0,1,2,0,0,4,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,1,0,0,0,0,0,0,0
4942,46,1,4.173913043478261,2,4,0,6,4,0,0,4,0,0,0,1,0,0,1,4,14,1,0,0,0,0,0,0,0,0,0,0,0,1,1,4,0,6,3,1,0,0,0,0,0,0,0
6581,74,1,4.743243243243243,3,6,0,7,6,0,4,6,0,0,0,0,1,0,0,6,16,1,0,6,0,0,0,0,0,1,0,0,5,1,0,3,0,9,7,1,0,1,1,1,0,0,1
7225,48,1,4.041666666666667,0,4,0,7,4,0,0,3,0,0,0,0,0,0,0,4,11,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,0,12,5,3,0,0,1,0,0,0,0
7213,48,1,5.145833333333333,1,4,0,4,3,0,2,3,0,1,0,0,0,0,2,4,10,4,3,2,0,0,0,0,0,0,0,0,2,0,0,0,0,7,1,1,0,0,3,0,0,0,0
3659,78,1,4.846153846153846,0,4,0,9,20,0,0,3,0,2,2,2,0,0,0,4,9,0,1,2,0,0,0,0,2,0,0,0,0,0,0,8,4,12,3,1,0,0,1,2,0,0,0
5328,68,1,4.470588235294118,1,7,0,6,5,0,1,13,0,11,7,0,2,0,0,7,26,1,0,3,0,0,0,0,0,0,0,0,0,1,1,1,0,6,3,0,0,0,0,0,0,0,0
85,50,1,4.52,0,4,0,6,6,0,0,7,0,0,0,0,0,0,4,4,14,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,10,4,0,0,1,0,0,0,0,0
345,37,1,5.1891891891891895,0,4,0,6,5,0,0,2,0,0,4,0,0,0,1,4,6,1,2,2,0,0,0,0,0,0,0,0,0,0,1,3,0,2,5,2,0,4,0,0,0,0,0
3320,77,1,4.35064935064935,0,4,0,7,5,0,0,6,0,0,0,1,9,0,0,4,10,0,1,11,0,0,0,0,1,0,0,0,1,0,1,5,0,11,7,0,0,5,2,0,0,0,1
4009,28,1,4.214285714285714,0,4,0,2,4,0,0,0,1,0,0,0,0,0,0,4,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,4,1,2,0,1,0,2,0,0,0
3753,32,1,5.21875,0,4,0,3,3,0,0,1,0,1,0,0,1,0,0,4,8,1,2,4,0,0,0,0,0,0,0,0,0,0,1,1,3,2,1,0,0,0,1,0,0,0,0
147,77,1,5.454545454545454,0,5,1,7,12,0,6,10,0,1,1,0,2,0,1,5,12,0,1,6,0,0,0,0,0,0,0,0,7,0,0,0,0,10,7,0,0,0,0,1,0,1,0
2587,65,1,4.876923076923077,1,4,0,8,9,0,2,6,0,0,0,0,0,0,5,4,8,3,4,3,0,0,0,0,0,1,0,0,3,0,0,1,0,7,6,1,0,2,0,1,0,0,0
1970,54,1,5.222222222222222,2,4,0,6,4,0,0,5,0,0,0,1,0,0,6,4,8,0,3,8,0,0,0,0,0,0,0,0,0,0,0,3,0,5,3,1,0,1,0,0,0,0,1
6449,60,1,5.033333333333333,0,4,1,8,1,0,0,6,0,5,0,1,4,0,3,4,7,0,4,7,0,0,0,0,0,0,0,0,0,1,1,0,0,6,1,5,0,0,0,1,0,0,0
4874,26,1,5.230769230769231,0,4,0,1,3,0,0,3,0,0,0,0,0,0,0,4,8,0,0,3,0,0,0,0,0,1,0,0,1,1,0,1,0,2,1,1,0,0,0,1,0,0,0
1815,21,1,5.761904761904762,1,4,0,1,3,0,0,2,0,0,2,0,2,0,0,4,3,0,0,6,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,0,0,0,0,0,0,0,0
7702,20,1,5.05,0,4,0,2,3,0,0,2,0,0,0,0,1,0,0,4,2,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,1,0,0,0,0,0,0,0
6112,51,1,4.2745098039215685,2,4,0,5,7,0,1,3,0,0,0,0,0,0,0,4,8,1,0,2,0,0,0,0,0,0,0,0,1,0,0,7,0,5,5,5,0,3,0,1,0,0,0
6167,74,1,4.513513513513513,1,4,1,6,6,0,2,5,1,0,0,0,0,0,0,4,16,6,2,2,0,0,0,0,0,0,0,0,2,0,0,6,0,15,7,1,0,1,1,1,0,0,0
5570,42,1,5.571428571428571,1,4,0,5,3,0,0,1,0,0,2,1,2,0,0,4,11,2,0,5,0,0,0,0,0,1,0,0,0,0,0,1,0,6,1,0,0,1,1,1,0,0,0
1687,39,1,4.717948717948718,0,4,0,7,7,0,0,5,0,0,1,0,2,0,0,4,7,1,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,5,4,1,0,0,0,1,0,0,0
4292,45,1,5.177777777777778,5,4,0,2,5,0,0,7,0,0,3,1,0,0,0,4,16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,2,1,0,0,0,1,0,1,0
4820,20,1,5.35,1,4,0,1,3,0,0,1,0,0,0,0,1,0,0,4,5,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0
7125,30,1,4.233333333333333,0,4,0,2,3,0,0,1,0,0,0,1,0,0,0,4,10,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,0
2465,50,1,5.1,1,4,0,4,7,0,0,5,1,0,0,1,1,0,0,4,9,0,3,7,0,0,0,0,0,0,0,0,3,0,1,3,0,2,5,0,0,0,0,2,0,0,0
5265,52,1,4.711538461538462,0,4,2,7,6,0,1,1,0,0,0,0,2,0,2,4,11,0,1,4,0,0,0,0,1,1,0,0,2,0,0,0,0,10,7,0,0,2,0,1,0,0,0
184,44,1,4.318181818181818,0,4,0,9,3,0,0,0,0,0,0,0,0,0,0,4,1,4,0,7,0,0,0,0,0,0,0,0,2,0,0,5,0,6,5,0,0,6,1,0,0,0,0
171,51,1,5.470588235294118,2,4,0,3,3,0,0,5,1,0,1,0,1,0,0,4,11,2,2,6,0,0,0,0,1,0,0,0,1,1,1,2,0,7,2,0,0,0,0,2,0,0,0
3111,19,1,4.684210526315789,0,4,0,2,4,0,0,1,0,0,0,1,0,0,0,4,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0
6172,55,1,4.490909090909091,1,4,0,5,3,0,0,4,0,0,0,0,1,0,0,4,5,1,3,7,0,0,0,0,0,1,0,0,5,0,0,3,0,10,6,3,0,0,0,2,0,0,1
